15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,28,18,18,17,16,29,15,15,15,15
15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,24,05,02,03,04,25,28,18,18,17
15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,24,08,06,06,07,25,24,05,02,01
15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,26,21,21,21,21,27,24,10,00,00
15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,24,10,00,00
15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,28,16,17,19,10,00,00
15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,24,05,03,02,12,00,00
15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,24,10,00,00,00,00,00
16,17,17,18,18,18,16,17,18,17,17,16,18,17,16,18,16,18,17,19,10,00,00,00,00,00
01,01,02,01,03,02,02,03,02,01,01,02,01,01,03,03,02,03,02,01,12,00,00,00,00,00
00,00,00,00,00,13,06,06,14,00,00,00,00,00,00,00,00,13,06,06,14,00,00,00,00,00
00,00,00,00,00,09,23,22,10,00,00,00,00,00,00,00,00,09,23,22,06,06,06,06,14,00
00,00,00,00,00,09,25,24,08,06,06,06,06,06,14,13,06,07,25,26,21,21,21,22,10,00
00,00,00,00,00,09,25,26,21,21,21,21,21,22,10,09,23,21,27,15,15,15,15,24,10,00
00,00,00,00,00,09,20,16,17,17,18,17,16,19,10,09,20,16,17,17,18,17,17,19,10,00
00,00,00,00,00,11,03,02,01,01,03,02,02,03,12,11,01,02,01,01,03,03,02,03,12,00
00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00
00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00
00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
