15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
16,17,18,17,18,16,17,17,18,29,28,16,17,17,18,16,17,16,18,18
01,02,02,01,03,02,03,03,04,25,24,05,01,02,02,03,01,03,02,03
00,00,00,00,00,00,00,00,09,25,24,10,00,00,00,00,00,00,00,00
00,00,00,00,00,00,00,00,09,25,24,10,00,00,00,00,00,00,00,00
00,00,00,00,00,00,00,00,09,25,24,10,00,00,00,00,00,00,00,00
00,00,00,00,00,00,00,00,09,25,24,10,00,00,00,00,00,00,00,00
00,00,00,00,00,00,00,00,09,20,19,10,00,00,00,00,00,00,00,00
00,00,00,00,00,00,00,00,11,01,02,12,00,00,00,00,00,00,00,00
00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00
00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00
00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00
00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00
