15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15
15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15
15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15
15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15
15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15
15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	28	18	17	16	29	15	15
15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	24	05	03	04	25	15	15
15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	24	08	06	07	25	15	15
15	15	15	15	15	15	15	15	15	15	15	15	28	17	16	18	16	29	15	27	21	21	21	26	15	15
15	15	15	15	15	15	15	15	15	15	15	15	24	05	01	03	04	25	15	15	15	15	15	15	15	15
15	15	15	15	15	15	15	15	15	15	15	15	24	10	00	00	09	25	15	15	15	15	15	15	15	15
16	17	16	18	18	17	18	16	17	18	17	16	19	10	00	00	09	20	17	18	16	17	16	16	18	18
01	02	03	02	01	02	02	03	01	01	02	03	02	12	00	00	11	01	02	03	01	02	01	02	03	02
00	00	00	00	00	00	00	00	00	00	13	06	06	06	06	06	14	00	00	00	00	00	00	00	00	00
00	00	00	00	00	00	00	00	00	00	09	23	21	21	21	22	10	00	00	00	00	00	00	00	00	00
00	00	00	00	00	00	00	00	00	00	09	25	15	15	15	24	10	00	00	00	00	00	00	00	00	00
00	00	00	00	00	00	00	00	00	00	09	20	29	15	28	19	10	00	00	00	00	00	00	00	00	00
00	00	00	00	00	00	00	00	00	00	11	04	25	15	24	05	12	00	00	00	00	00	00	00	00	00
00	00	00	00	00	00	00	00	00	00	00	09	25	15	24	06	06	06	06	06	06	06	06	14	00	00
00	00	00	00	00	00	00	00	00	00	00	09	25	15	27	21	21	21	21	21	21	21	22	10	00	00
00	00	00	00	00	00	00	00	00	00	00	09	20	16	17	18	16	17	17	18	17	16	19	10	00	00
00	00	00	00	00	00	00	00	00	00	00	11	01	03	02	03	01	02	03	01	03	02	03	12	00	00
00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00
00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00
00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00
00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00
00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00
00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00
