15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	28	16	16	17	29
15	15	15	15	15	28	18	17	16	29	15	15	15	15	15	15	15	15	15	15	15	15	25	05	03	02	24
15	15	15	15	15	25	05	02	04	24	15	15	15	15	15	15	15	15	15	15	15	15	25	08	06	06	24
15	15	15	15	15	25	08	06	07	24	15	15	15	15	15	15	28	17	17	18	29	15	26	21	21	21	27
15	15	15	15	15	26	21	21	21	27	15	15	15	15	15	15	25	05	03	04	24	15	15	15	15	15	15
15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	25	09	00	10	24	15	15	15	15	15	15
15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	25	09	00	10	24	15	15	15	15	15	15
15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	25	09	00	10	24	15	15	15	15	15	15
16	17	16	16	18	18	17	16	17	29	28	16	17	18	18	17	19	09	00	10	24	15	15	28	17	18	18
02	03	01	01	03	02	02	01	04	24	25	05	02	03	03	01	01	12	00	10	24	28	16	19	05	03	01
00	00	00	00	00	00	00	00	10	24	25	09	00	00	00	00	00	00	00	10	20	19	05	02	12	00	00
00	00	00	00	00	00	00	00	10	24	25	09	00	00	00	00	00	00	00	11	01	02	12	00	00	00	00
00	00	00	00	00	00	00	00	10	24	25	09	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00
00	13	06	06	06	14	00	00	10	24	25	09	00	00	00	00	00	00	00	00	00	00	00	00	13	06	06
00	10	23	21	22	09	00	00	10	20	19	09	00	00	00	00	00	00	00	00	00	00	00	00	10	23	21
00	10	20	18	19	09	00	00	11	03	02	12	00	00	13	06	06	06	14	00	00	00	00	00	10	24	15
00	11	03	02	01	12	00	00	00	00	00	00	00	00	10	23	21	22	09	00	00	00	00	00	10	20	18
00	00	00	00	00	00	00	00	00	00	00	00	00	00	10	20	17	19	09	00	00	00	00	00	11	01	03
00	00	00	00	00	00	00	00	00	00	00	00	00	00	11	03	02	02	12	00	00	00	00	00	00	00	00
