15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15
15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15
15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15
15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15
15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15
15	15	15	15	15	15	15	15	15	28	16	17	18	29	15	28	18	17	17	29	15	15	15	15	15	15	15	15	15
15	15	15	15	15	15	15	15	15	24	05	02	04	25	15	24	05	02	04	25	15	15	15	15	15	15	15	15	15
15	15	15	15	15	15	15	15	15	24	10	00	09	25	15	24	10	00	09	25	15	15	15	15	15	15	15	15	15
16	17	18	18	17	16	17	29	15	24	10	00	09	25	15	24	01	00	09	25	15	28	16	16	17	17	18	17	18
01	02	02	01	03	02	04	25	15	24	10	00	09	25	15	24	10	00	09	25	15	24	05	01	01	03	01	02	03
00	00	00	00	00	00	09	25	15	24	10	00	09	25	15	24	10	00	09	25	15	24	10	00	00	00	00	00	00
00	00	00	00	00	00	09	20	18	19	10	00	09	25	15	24	10	00	09	20	18	19	10	00	00	00	00	00	00
00	00	00	00	00	00	11	03	02	01	12	00	09	25	15	24	10	00	11	02	02	03	12	00	00	00	00	00	00
00	00	00	00	00	00	00	00	00	00	00	00	09	25	15	24	10	00	00	00	00	00	00	00	00	00	00	00	00
00	00	00	00	00	00	00	00	00	00	00	00	09	20	17	19	10	00	00	00	00	00	00	00	00	00	00	00	00
00	00	00	00	00	00	00	00	00	00	00	00	11	02	03	01	12	00	00	00	00	00	00	00	00	00	00	00	00
00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00
00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00
00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00
00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00
00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00
